"fecha","tmed","hrmed","NDVI_mean_6490927","Anomaly_6490927","NDVI_mean_6431327","Anomaly_6431327","NDVI_mean_6444852","Anomaly_6444852","NDVI_mean_6462152","Anomaly_6462152","NDVI_mean_6617939","Anomaly_6617939","NDVI_mean_6619213","Anomaly_6619213","NDVI_mean_6402165","Anomaly_6402165","NDVI_mean_6402166","Anomaly_6402166","NDVI_mean_6402168","Anomaly_6402168","NDVI_mean_6402171","Anomaly_6402171","NDVI_mean_6402172","Anomaly_6402172","NDVI_mean_6402214","Anomaly_6402214","NDVI_mean_6482477","Anomaly_6482477","NDVI_mean_6524125","Anomaly_6524125","NDVI_mean_6400989","Anomaly_6400989","NDVI_mean_6400993","Anomaly_6400993","NDVI_mean_6400994","Anomaly_6400994","NDVI_mean_6400997","Anomaly_6400997","NDVI_mean_6401005","Anomaly_6401005","NDVI_mean_6466802","Anomaly_6466802","NDVI_mean_6496354","Anomaly_6496354","NDVI_mean_6525295","Anomaly_6525295","NDVI_mean_6401855","Anomaly_6401855","anomaliesAgg","anomaliesAgg2"
2018-09-13,25.3041666666667,72.3166666666667,NA,NA,0.400930035859346,0,NA,NA,0.128974631428719,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225885378569365,1,NA,NA,0.441348239779472,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0847375001758337,1,NA,NA,NA,NA,0.130434782608696,0.6
2018-09-18,24.7416666666667,79.2583333333333,NA,NA,0.371382705867291,0,NA,NA,0.257729470729828,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149129897356033,1,NA,NA,0.100943692028522,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171506725251675,0,NA,NA,NA,NA,0.0869565217391304,0.4
2018-09-23,24.7166666666667,55.2041666666667,NA,NA,0.551881708204746,1,NA,NA,0.358249500393868,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43026597648859,0,NA,NA,0.555164729555448,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210918068885803,0,NA,NA,NA,NA,0.0434782608695652,0.2
2018-09-28,22.2291666666667,67.8583333333333,NA,NA,0.114095598459244,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0434782608695652,1
2018-10-03,20.1166666666667,64.3166666666667,NA,NA,0.519349411129952,1,NA,NA,0.315918773412704,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387450467050076,0,NA,NA,0.557732815543811,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168015826493502,0,NA,NA,NA,NA,0.0434782608695652,0.2
2018-10-08,19.3791666666667,64.3375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.377861544489861,0,NA,NA,0.500332375367483,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2018-10-13,20.1208333333333,85.0541666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114404340088367,1,NA,NA,0.0397128229960799,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0869565217391304,1
2018-10-18,17.6166666666667,77.4708333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2018-10-23,18.4208333333333,85.9041666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2018-10-28,13.0333333333333,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2018-11-02,14.2416666666667,66.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2018-11-07,11.9083333333333,72.1541666666667,NA,NA,0.375817039981484,0,NA,NA,0.364905692636967,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326528684794903,0,NA,NA,0.55068031946818,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110424023121595,1,NA,NA,NA,NA,0.0434782608695652,0.2
2018-11-12,13.8041666666667,87.1083333333333,NA,NA,0.470171079039574,0,NA,NA,0.228631131350994,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2018-11-17,15.4166666666667,91.6375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400135470926762,0,NA,NA,0.557072003682455,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2018-11-22,12.875,85.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2018-11-27,13.9291666666667,57.3375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
