OBJECTID,ZR_ID,ZR_ARTIFIC,ZR_NOMBRE,ZR_SUPERFI,ZR_COMENTA,ZR_FIABILI,ZR_NUM_EXP,DOC_ADJ,N_tx,ID_EXPLOTA,OBJECTID2,USU_ALTA,FEC_ALTA,USU_MODIF,FEC_MODIF,IDPART,CAPA_CAD,Emu_OBJECT,CT_ID,CT_INSTAL,CT_CATEG,GNR_NUM1,GNR_NUM2,GNR_NUM3,GNR_TXT1,GNR_TXT2,GNR_TXT3,COD_MUNI,COD_SIT,ZR_ID_SUMI,ZR_COD_LOC,ZR_SUMINIS,AGIS_Etiqu,ID_AGIS,ID_GA,FEC_RECEP,SHAPE_STAr,SHAPE_STLe,Poligonos
"55",,,,235.71310424000,,,,N,"2","0","73",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"73",ASIGNAR RANACO,"73","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,235.71459960900,66.42232699340,"1"
"56",,,,196.95845031000,,,,N,"2","0","74",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"74",ASIGNAR RANACO,"74","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,196.95874023400,62.71913554110,"1"
"57",,,,403.33840942000,,,,N,"2","0","75",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"75",ASIGNAR RANACO,"75","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,403.33862304700,95.33289108700,"1"
"58",AB001,,,686.70898437000,,,,N,"2","0","76",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"76",ASIGNAR RANACO,"76","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,686.70971679700,122.47180217000,"1"
"59",AB001,,,553.19024658000,,,,N,"2","0","77",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"77",ASIGNAR RANACO,"77","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,553.19018554700,111.98092477900,"1"
"60",AB001,,,1605.46240234000,,,,N,"2","0","78",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"78",ASIGNAR RANACO,"78","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,1605.45971680000,333.30689905300,"1"
"61",AB011,,,125.03724670000,,,,N,"2","0","79",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"79",ASIGNAR RANACO,"79","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,125.03637695300,61.75436185260,"1"
"62",AB011,,,105.63105010000,,,,N,"2","0","80",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"80",ASIGNAR RANACO,"80","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,105.63085937500,50.68883590360,"1"
"63",AB011,,,82.96140289000,,,,N,"2","0","81",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"81",ASIGNAR RANACO,"81","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,82.96240234380,42.29138298750,"1"
"64",AB011,,,49.96530151000,,,,N,"2","0","82",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"82",ASIGNAR RANACO,"82","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,49.96557617190,29.86718177880,"1"
"65",AB011,,,70.68894958000,,,,N,"2","0","83",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"83",ASIGNAR RANACO,"83","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,70.68896484380,38.77009355650,"1"
"66",AB011,,,95.55650329000,,,,N,"2","0","84",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"84",ASIGNAR RANACO,"84","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,95.55639648440,49.29233657360,"1"
"67",AB011,,,64.29830169000,,,,N,"2","0","85",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"85",ASIGNAR RANACO,"85","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,64.29785156250,36.97037523070,"1"
"68",,,,75.17624664000,,,,N,"2","0","86",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"86",ASIGNAR RANACO,"86","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,75.17724609380,40.55745463480,"1"
"69",,,,67.33809661000,,,,N,"2","0","87",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"87",ASIGNAR RANACO,"87","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,67.33862304690,38.24317416340,"1"
"70",,,,78.74700164000,,,,N,"2","0","88",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"88",ASIGNAR RANACO,"88","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,78.74829101560,43.74143901980,"1"
"71",,,,73.58094787000,,,,N,"2","0","89",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"89",ASIGNAR RANACO,"89","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,73.58032226560,41.01407988110,"1"
