"Contrato";"Fecha_Min";"Fecha_Max";"NDVI.NA.n_TotalD";"NDVI.NA.n_TotalNA";"NDVI.NA.n_MaxNA";"NDVI.NA.Mean_Min";"NDVI.NA.Mean_Mean";"NDVI.NA.Mean_Max";"NDVI.NA.Mean_TotalNoNA";"NDVI.NA.Mean_TotalNA"
"6384426";2017-10-03;2022-02-09;1;16;1;-0.0392169857567007;0.239001470906466;0.50179874626073;258;16
"6391856";2017-10-03;2022-02-09;1;16;1;-0.0436280662459987;0.321068581365021;0.604095063039235;258;16
"6392760";2017-10-03;2022-02-09;1;16;1;-0.0435162167996168;0.348252286960469;0.615386888384819;258;16
"6393621";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6394348";2017-10-03;2022-02-09;2;16;1;-0.0375264037328844;0.283305361244257;0.494268991755989;258;16
"6396185";2017-10-03;2022-02-09;1;16;1;-0.0379195072289024;0.264355764911725;0.525863023740905;258;16
"6396198";2017-10-03;2022-02-09;1;16;1;-0.113310762814113;0.294001009728443;0.566406288317272;258;16
"6396344";2017-10-03;2022-02-09;2;16;1;-0.0348292347043753;0.314665744785052;0.566903374261326;258;16
"6396364";2017-10-03;2022-02-09;1;16;1;-0.0371338196098805;0.321946064237882;0.593631011247635;258;16
"6397734";2017-10-03;2022-02-09;1;16;1;-0.0365590990210573;0.503173901665247;0.889557587603728;258;16
"6397830";2017-10-03;2022-02-09;1;16;1;Inf;NA;-Inf;0;274
"6398496";2017-10-03;2022-02-09;1;16;1;-0.037468179975721;0.245326452470686;0.457269008525393;258;16
"6400127";2017-10-03;2022-02-09;1;16;1;-0.0248901234673602;0.292743877083307;0.60267733676093;258;16
"6400489";2017-10-03;2022-02-09;1;13;1;-0.0319478735327721;0.115148286543692;0.25155770406127;261;13
"6400989";2017-10-03;2022-02-09;1;13;1;-0.026788342744112;0.1703817246732;0.464522242546082;261;13
"6400993";2017-10-03;2022-02-09;1;13;1;-0.0380530990660191;0.136889862115303;0.339927345514298;261;13
"6400994";2017-10-03;2022-02-09;1;13;1;-0.033875934779644;0.154252578901578;0.600806474685669;261;13
"6400997";2017-10-03;2022-02-09;1;13;1;Inf;NA;-Inf;0;274
"6401005";2017-10-03;2022-02-09;1;13;1;-0.0496319159865379;0.146214905674427;0.323962509632111;261;13
"6401855";2017-10-03;2022-02-09;1;13;1;-0.0455547384917736;0.122619265577153;0.233418360352516;261;13
"6402168";2017-10-03;2022-02-09;1;13;1;Inf;NA;-Inf;0;274
"6402172";2017-10-03;2022-02-09;1;13;1;Inf;NA;-Inf;0;274
"6402214";2017-10-03;2022-02-09;1;13;1;-0.0302025051237757;0.270322902610095;0.510028485622671;261;13
"6406085";2017-10-03;2022-02-09;1;16;1;-0.0390207705398401;0.276152295943498;0.592977272967497;258;16
"6406092";2017-10-03;2022-02-09;1;16;1;-0.0343365396062533;0.193387645653105;0.82850714524587;258;16
"6406280";2017-10-03;2022-02-09;1;16;1;-0.0328556187450886;0.15796053164371;0.363226547837257;258;16
"6409317";2017-10-03;2022-02-09;1;16;1;-0.0274651050567627;0.203268857084868;0.597548544406891;258;16
